label,time_s,x_m,v_m_s,theta_rad,omega_rad_s
last,2.1,-0.19684585916645328,-0.062260448358138494,2.9061650094995573,0.8486841838522323
last,2.11,-0.19739118541746026,-0.046804801843246244,2.9144420266182958,0.8074770536552761
last,2.12,-0.19778009949614966,-0.03097801389463747,2.9223394112436467,0.7727239784976411
last,2.13,-0.1980143255980019,-0.01586720647581455,2.9298912611351535,0.7383376633228333
last,2.14,-0.19809802701208715,-0.0008730763412316813,2.9371165334818516,0.7073787006830912
last,2.15,-0.19802897020931443,0.014684436895767502,2.9440671478039433,0.6833819046657286
last,2.16,-0.1978087953902988,0.02935052690736453,2.9507724220304734,0.6582872569641985
last,2.17,-0.19744305594363573,0.04379736242524753,2.9572389820242493,0.6356171204938332
last,2.18,-0.19693801097691502,0.057211630918900254,2.9634682017879577,0.610796301915886
last,2.19,-0.19630451349459216,0.06948786554567006,2.9694349564040374,0.5830990801261982
last,2.2,-0.19554906955822118,0.08160092172853177,2.9751363742131622,0.5577047455065169
last,2.21,-0.19467556427007415,0.09310013590089486,2.980582418648816,0.5320006958652178
last,2.22,-0.1936869520178157,0.10462231455079751,2.9857867364226363,0.5093375327631038
last,2.23,-0.19258694171238805,0.11537974653474511,2.990757475164777,0.4852630993954598
last,2.24,-0.19138297039221266,0.1254145175003216,2.9954809969258562,0.4598711924713776
last,2.25,-0.19007685092063964,0.13580937681428634,2.9999731889487173,0.4389764451902365
last,2.2600000000000002,-0.18867038612359666,0.14548358259431585,3.004248706843352,0.4165162525542773
last,2.27,-0.18716637005225406,0.15531963167421067,3.008315565634973,0.3972258095769215
last,2.2800000000000002,-0.1855672124985582,0.16451187906495807,3.012182733451323,0.37655958294757846
last,2.29,-0.183873095709671,0.17431147871247984,3.0158703616679965,0.36130193505998437
last,2.3000000000000003,-0.1820847956427,0.18334853468171844,3.0193943367503993,0.34381372708836216
last,2.31,-0.18020380377275055,0.19284983930818309,3.0227657108456367,0.3307681170418339
last,2.32,-0.1782313941133418,0.20163209257356393,3.0259958887186715,0.31556122963777195
last,2.33,-0.17616629603649828,0.211387522795122,3.0291095554509564,0.3074557892298905
last,2.34,-0.17400936765837005,0.21999815283052246,3.032118998404072,0.2947065211162165
last,2.35,-0.17176217581817516,0.22944021520845223,3.0350320278007805,0.28816461899425083
last,2.36,-0.16942630828828298,0.2377332907699758,3.037855795635395,0.2768457206501015
last,2.37,-0.16700326248042144,0.2468758708023247,3.0405974709169086,0.27173891201977163
last,2.38,-0.16448983028187397,0.2558105689071828,3.043289782581192,0.266968397732934
last,2.39,-0.16188701741373257,0.2647520047210866,3.045941894143571,0.2636953218035091
last,2.4,-0.1591967019468288,0.273311088659685,3.048557920102395,0.25974786699565683
last,2.41,-0.15642087219674466,0.28185486135713395,3.051141163088047,0.2571358185568816
